last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
Falter, Bailey,663559,46.6,7.0,,16.8,7.2,22.4,,,,
Ragans, Cole,666142,41.3,,11.5,9.1,24.7,13.4,,,,
Kaprielian, James,621076,41.4,13.9,,30.7,7.8,6.1,,,,
Bickford, Phil,641360,69.7,,,28.6,1.7,,,,,
Brash, Matt,666374,38.2,,5.1,47.4,0.1,9.2,,,,
Richards, Trevor,670950,44.0,,,,56.0,,,,,
Abreu, Bryan,650556,40.1,0.3,,52.9,,6.6,,,,
Cortes, Nestor,641482,52.1,0.5,28.7,2.1,2.8,,,,13.9,
Grove, Michael,675627,38.6,,8.0,34.9,0.4,18.1,,,,
Montero, Rafael,606160,48.6,15.1,,14.4,21.8,,,,,
Hernández, Carlos,672578,55.9,0.8,,23.8,,8.8,10.7,,,
Yarbrough, Ryan,642232,,30.9,23.3,,20.1,25.7,,,,
Ortiz, Luis L.,682847,26.3,27.6,0.4,32.0,13.6,,,,,
López, Reynaldo,625643,64.2,,,30.2,4.4,1.1,,,,
Merryweather, Julian,657240,40.4,,,48.7,8.3,,,,2.6,
Woo, Bryan,693433,48.1,26.3,11.4,10.8,3.2,0.1,,,,
Whitlock, Garrett,676477,0.8,52.8,,,23.3,,,,23.1,
Farmer, Buck,571656,42.9,,,33.3,23.8,,,,,
Baumann, Mike,657508,52.0,,,20.2,2.5,25.3,,,,
Anderson, Chase,502624,31.5,8.5,26.0,0.5,21.7,3.7,,,8.0,
Tonkin, Michael,543859,,60.9,,37.3,,,,,1.8,
Abreu, Albert,656061,3.2,54.8,,27.5,14.5,,,,,
Scott, Tanner,656945,47.0,,,53.0,,,,,,
Holton, Tyler,663947,28.6,11.8,19.4,14.0,22.4,3.8,,,,
Cuas, Jose,621016,18.4,48.9,,28.9,3.8,,,,,
Kluber, Corey,446372,2.3,26.3,27.4,,15.9,28.2,,,,
Gibaut, Ian,664139,43.9,,25.5,0.1,9.3,,,,21.2,
Bautista, Félix,642585,70.4,,,4.8,,,24.8,,,
Lawrence, Justin,664875,,52.2,,,,,,,47.8,
Graveman, Kendall,608665,21.6,40.4,,27.6,8.5,1.9,,,,
Suter, Brent,608718,31.4,29.7,,9.6,29.3,,,,,
Johnson, Pierce,572955,36.3,,,6.4,,57.2,,,,
Marsh, Alec,679525,41.6,1.9,,13.5,15.9,15.7,,,11.4,
Wilson, Bryse,669060,16.9,34.6,33.3,,0.7,14.3,0.1,,,
Brazoban, Huascar,623211,17.5,21.7,32.9,,27.9,,,,,
Barlow, Scott,605130,22.8,6.8,,37.4,,33.0,,,,
Weathers, Ryan,677960,56.3,,,,23.7,,,,20.0,
Díaz, Alexis,664747,49.1,,,50.9,,,,,,
Littell, Zack,641793,34.3,6.6,,32.3,,,19.4,,7.4,
McHugh, Collin,543521,3.7,,45.6,,0.2,1.9,,,48.5,
Doval, Camilo,666808,,29.5,33.5,37.0,,,,,,
García, Yimi,554340,32.7,16.1,,10.2,7.9,33.1,,,,
Englert, Mason,669438,30.3,,,36.3,26.7,6.7,,,,
Leiter Jr., Mark,643410,7.5,28.9,19.5,,,9.1,34.9,,,
Fried, Max,608331,35.0,11.5,,10.1,16.7,22.0,,,4.6,
Rogers, Tyler,643511,0.2,48.9,,50.9,,,,,,
Payamps, Joel,606303,21.2,23.1,,43.7,12.0,,,,,
Santos, Gregory,666619,1.6,44.8,,52.7,0.9,,,,,
Clase, Emmanuel,661403,0.4,,68.2,31.3,,,,,,
Lange, Alex,656638,3.9,28.5,,,9.1,58.5,,,,
Morgan, Eli,669212,40.8,,,26.2,31.4,1.6,,,,
Estévez, Carlos,608032,68.2,,,25.6,5.8,0.4,,,,
Stephan, Trevor,663986,48.5,,,25.8,,,25.6,,,
Pallante, Andre,669467,64.8,3.0,,17.3,,15.0,,,,
Teheran, Julio,527054,10.5,37.9,28.9,,11.2,11.5,,,,
Wilson, Steven,621051,36.4,,0.6,0.1,3.2,,,,59.7,
Fulmer, Michael,605242,28.9,11.1,22.0,,7.7,,,,30.3,
Cruz, Fernando,518585,34.4,0.5,24.6,5.5,,,35.0,,,
Hicks, Jordan,663855,11.7,61.0,,4.2,1.9,,,,21.2,
Finnegan, Kyle,640448,71.1,,,4.8,,,24.1,,,
Faedo, Alex,656412,49.1,,,36.9,14.0,,,,,
Pagán, Emilio,641941,53.3,,31.0,,,2.9,12.8,,,
Sewald, Paul,623149,54.9,,,,,,,,45.1,
Neris, Hector,593576,50.3,17.8,,3.5,,,28.4,,,
Varland, Louie,686973,42.4,,31.5,14.3,11.9,,,,,
Hudson, Dakota,641712,21.5,39.1,,32.0,2.6,4.7,,,,
Kimbrel, Craig,518886,67.2,,,,,32.8,,,,
Bummer, Aaron,607481,5.5,46.4,11.4,,0.7,,,,36.0,
Swanson, Erik,657024,34.4,,,17.9,,,47.6,,,
Sims, Lucas,608371,43.2,,,50.6,,6.3,,,,
Yates, Kirby,489446,53.3,,,1.4,,,45.3,,,
Smith, Drew,622098,61.7,,,21.4,8.6,8.4,,,,
Alzolay, Adbert,640470,22.0,18.4,9.5,44.9,0.6,,,,4.6,
Blanco, Ronel,669854,40.2,,,48.6,9.0,2.2,,,,
Bednar, David,670280,57.1,,,,,25.9,17.0,,,
Duran, Jhoan,661395,45.2,,,,,27.7,27.1,,,
Robertson, David,502085,1.7,,51.1,19.9,1.1,26.2,,,,
VerHagen, Drew,572403,29.1,16.4,14.2,,10.9,,,,29.4,
Ferguson, Caleb,657571,66.7,,30.5,,,,,,2.8,
Adam, Jason,592094,33.3,,,1.3,35.5,,,,29.9,
Ginkel, Kevin,656464,46.9,9.2,,44.0,,,,,,
Jax, Griffin,643377,20.1,12.2,3.4,,8.2,,,,56.2,
Clarke, Taylor,664199,28.9,,,37.3,16.1,,,,17.8,
Maton, Phil,664208,31.7,4.7,0.9,,,40.7,,,22.0,
Chapman, Aroldis,547973,49.3,15.6,,28.0,,,7.1,,,
Ottavino, Adam,493603,4.6,37.5,17.0,,13.6,,,,27.2,
De Los Santos, Enyel,660853,62.7,,,28.3,9.0,,,,,
Foley, Jason,671345,,69.0,,16.7,14.2,,,,,
Cano, Yennier,666974,2.8,55.4,,14.3,27.4,,,,,
Minter, A.J.,621345,47.4,,39.3,,13.3,,,,,
Milner, Hoby,571948,21.9,29.0,,,15.6,33.5,,,,
Bido, Osvaldo,674370,28.1,23.1,3.5,35.5,9.9,,,,,
Moll, Sam,594580,22.1,37.4,,,1.4,,,,39.1,
Hamilton, Ian,641656,22.9,23.0,,54.1,,,,,,
Liberatore, Matthew,669461,37.5,19.3,,11.4,9.1,22.7,,,,
Holmes, Clay,605280,0.8,67.6,,22.4,,,,,9.2,
Kelly, Kevin,687330,1.4,45.5,10.8,,,,,,42.3,
Pressly, Ryan,519151,23.5,0.2,,41.9,8.4,25.9,,,,
Moreta, Dauri,664294,27.0,,,63.3,9.7,,,,,
Honeywell, Brent,641703,51.2,0.3,,0.2,28.8,,,,19.4,
Bard, Daniel,453268,14.1,35.4,,46.8,0.2,,,,,3.5
Floro, Dylan,571670,33.2,31.4,,23.6,11.8,,,,,
Marinaccio, Ron,676760,51.7,,,,37.2,,,,11.1,
Castro, Miguel,612434,,41.8,,43.3,14.9,,,,,
Walker, Ryan,676254,,50.4,,49.6,,,,,,
Hoeing, Bryan,663773,10.5,50.5,,32.3,6.7,,,,,
Topa, Justin,623437,,44.6,17.5,31.2,6.7,,,,,
Thompson, Mason,666168,5.6,58.4,,27.4,0.2,8.4,,,,
Hader, Josh,623352,,72.8,,23.9,3.3,,,,,
García, Luis,472610,15.1,42.6,,34.9,,,7.4,,,
Sandlin, Nick,680704,26.3,19.6,,51.1,,,3.0,,,
Cisnero, José,542585,38.2,20.0,14.1,18.5,9.2,,,,,
Williams, Devin,642207,40.7,,3.0,,56.3,,,,,
Erceg, Lucas,668674,25.6,31.7,4.4,15.7,22.5,,,,,
Urquidy, José,664353,37.6,11.1,,,19.4,11.6,,,20.3,
Blach, Ty,621389,,56.1,16.1,,22.8,4.9,,,,
Middleton, Keynan,641871,26.3,,,30.4,43.2,,,,,
Peguero, Elvis,665625,,49.9,,50.1,,,,,,
